cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
policymakers implement policies focused on reducing carbon emissions,volatility of inflation will increase,is likely to cause,"As more policymakers start to implement policies focused on reducing carbon emissions, such as cap-and-trade, a carbon tax, or carbon border adjustment mechanisms, it is likely that the volatility of inflation will increase, which puts climate policy directly in focus for the price stability objective of central banks.",NA,is likely,NA,FUTURE,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_29
OECD CLIs,business cycle fluctuations,OECD CLIs precede business cycle fluctuations,"See the OECD Short-Term Indicators Dashboard OECD CLIs are constructed from economic time series that have similar cyclical fluctuations to those of the business cycle, but, and importantly, which precede those of the business cycle.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_30
high weight on slack in the economy by monetary policymaker,determinate price level,A high weight on slack in the economy by the monetary policymaker can result in a determinate price level even if the weight on inflation is less than one,"It can be shown that if the monetary policymaker puts a high weight on slack in the economy, a weight on inflation that is less than one can still result in a determinate price level (Gali, 2008).",NA,can,NA,PRESENT,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_31
positive trend inflation,region of determinacy shrinks,Positive trend inflation causes the region of determinacy to shrink quickly,"Ascari & Sbordone (2014) show that with positive trend inflation, the region of determinacy shrinks quickly to cover only increasingly high inflation weights.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_32
minor amounts of myopia,problem of indeterminacy ruled out,Introducing minor amounts of myopia rules out the problem of indeterminacy,"On the other hand, Angeletos & Lian (2021) find that introducing only minor amounts of myopia rules out the problem of indeterminacy prevalent in models with infinitely forward-looking agents.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_33
long-term factors such as demographics,falling time-varying equilibrium rate,Long-term factors such as demographics have caused the time-varying equilibrium rate to fall,"It is widely accepted that this has been falling for quite a while due to long- term factors such as demographics (Vlieghe, 2021) but can also be affected by more medium-term headwinds.",NA,NA,for quite a while,PAST,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_34
medium-term headwinds,falling time-varying equilibrium rate,Medium-term headwinds can affect the time-varying equilibrium rate,"It is widely accepted that this has been falling for quite a while due to long- term factors such as demographics (Vlieghe, 2021) but can also be affected by more medium-term headwinds.",NA,can,NA,PRESENT,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_35
measured real yields fall over time,stand still,Measured real yields would have to fall over time just to stand still,"Therefore, also measured real yields would have to fall over time just to stand still.",NA,NA,over time,FUTURE,speech_16652_batch_3,16652,batch_6956d974be6c8190b400250d09687767,16652_36
changes in monetary policy,changes in inflation,Changes in monetary policy take 18 to 24 months to affect inflation.,"In the central banking world, 18 to 24 months is often quoted as how long it takes for changes in monetary policy to feed through to inflation, even as certainly this effect accumulates over that timeframe.",18 to 24 months,NA,over that timeframe,PRESENT,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_0
changes in the economy and economic environment,changes in monetary transmission,Monetary transmission changes when the economy and the economic environment change.,Monetary transmission will change when the economy and the economic environment changes.,NA,NA,NA,FUTURE,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_1
raising Bank Rate,tightening of monetary conditions,Raising Bank Rate tightens monetary conditions.,"Over the last year and a half, monetary conditions have tightened significantly over a short period of time, in response to the MPCs Bank Rate increases.",390 basis points,NA,over a short period of time,PAST,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_2
tightening in financial conditions,households cut back on consumption,A tightening in financial conditions leads households to cut back on consumption as borrowing costs rise.,"But to start the transmission process, a tightening in financial conditions should mean households cut back on consumption as the cost of borrowing rises, and the opportunity cost of spending increases as saving rates rise.",NA,should,NA,PRESENT,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_3
tightening in financial conditions,firms reduce investment,A tightening in financial conditions leads firms to reduce investment due to rising borrowing costs and anticipated worsening demand.,"Firms may reduce investment, both in response to rising borrowing costs, and in anticipation of worsening demand conditions.",NA,may,NA,PRESENT,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_4
expectations about the future,influence on the present,Expectations about the future can influence the present.,An often underappreciated feature of macroeconomics is that expectations about the future can influence the present.,NA,can,NA,PRESENT,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_5
MPC's tightening in monetary policy,downward effect on equity prices,MPC's tightening in monetary policy has a downward effect on equity prices.,The MPCs tightening in monetary policy has had a considerable downward effect on equity prices over the last twelve months.,NA,NA,over the last twelve months,PAST,speech_16653_batch_0,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_6
shareholder payout,positive contribution to equity prices,Shareholder payout has made a positive contribution to equity prices.,"But Chart 4 shows that, in fact, shareholder payout and most notably the equity risk premium have made a positive contribution to equity prices since the beginning of last year.",NA,NA,since the beginning of last year,PAST,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_7
equity risk premium,positive contribution to equity prices,Equity risk premium has made a positive contribution to equity prices.,"But Chart 4 shows that, in fact, shareholder payout and most notably the equity risk premium have made a positive contribution to equity prices since the beginning of last year.",NA,NA,since the beginning of last year,PAST,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_8
monetary policy tightening through interest rates,effects on equity prices,Monetary policy tightening through interest rates has effects on equity prices.,These have outweighed the effects of monetary policy tightening through interest rates.,NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_9
rise in UK interest rates,Sterling appreciation,A rise in UK interest rates should cause Sterling to appreciate relative to other currencies.,"All other things being equal, a rise in UK interest rates should cause Sterling to appreciate relative to other currencies - but we see a marked depreciation instead.",NA,should,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_10
Federal Reserve tightening,Sterling depreciation,Federal Reserve tightening has contributed to Sterling depreciation.,"This in part reflects the Federal Reserve tightening, particularly at a quicker pace than the MPC, but also a better macroeconomic outlook in the US.",NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_11
MPC tightening,Sterling depreciation,"MPC tightening has been outweighed by other factors, contributing to Sterling depreciation.","Up until the end of 2022, the contribution of US policy and macroeconomic factors have outweighed the MPCs tightening.",NA,NA,up until the end of 2022,PAST,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_12
persistent UK-specific risk premium,reduced appetite for Sterling assets,A persistent UK-specific risk premium captures the reduced appetite for Sterling assets.,"Another factor weighing on Sterling, as seen through the lens of this model, is a persistent UK-specific risk premium which captures the reduced appetite for Sterling assets more broadly, that is, apparently, unrelated to direct pricing of monetary policy and future macroeconomic conditions.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_13
depreciation of Sterling,looser financial conditions,Depreciation of Sterling contributes to looser financial conditions.,"Financial conditions are looser relative to what they might be otherwise, due to the depreciation of Sterling and a falling equity risk premium, which have global factors embedded in them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_14
falling equity risk premium,looser financial conditions,Falling equity risk premium contributes to looser financial conditions.,"Financial conditions are looser relative to what they might be otherwise, due to the depreciation of Sterling and a falling equity risk premium, which have global factors embedded in them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_15
monetary policy shock,appreciation of Sterling exchange rate index,Monetary policy shock appreciates the Sterling exchange rate index.,"The top right-hand panel shows the monetary policy shock also appreciates the Sterling exchange rate index, with a peak effect at two to three months following the shock, consistent with the effect on the 1-year nominal interest rate.",NA,NA,two to three months,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_16
monetary policy shock,delayed response on the level of real GDP,"Monetary policy shock has a significant, delayed response on the level of real GDP.","The monetary policy shock also has a significant, delayed response on the level of real GDP, which is consistent with the story on monetary policy lags, but also New Keynesian theory that GDP lags inflation.",-1.25%,NA,after around two years,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_17
contractionary monetary policy,permanently negative effect on the level of output relative to trend,Contractionary monetary policy has a permanently negative effect on the level of output relative to trend.,The results also suggest a permanently negative effect of contractionary monetary policy on the level of output relative to trend.,NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_18
monetary policy shock,negative effect on the level of CPI,Monetary policy shock has a statistically significant and negative effect on the level of CPI.,"Turning now to the bottom right panel, the effect on the level of CPI is not only statistically significant and negative, but also instantaneous.",NA,NA,instantaneous,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_19
announced changes in the monetary policy rate,firms revise their price expectations,Announced changes in the monetary policy rate induce firms to revise their price expectations.,"See Di Pace et al. (2023) who analyse firm expectations in particular, and find that announced changes in the monetary policy rate induce firms to revise their price expectations, with rate hikes inducing a decrease in price expectations and uncertainty surrounding them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_20
changes in the effectiveness of monetary policy,control of inflation,The effectiveness of monetary policy affects its ability to control inflation.,"But, crucially, it also changes the effectiveness of monetary policy to control inflation.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_21
monetary tightening,effect on inflation,"Monetary tightening affects inflation, with less effect if expectations are backward-looking.","A given monetary tightening has less of an effect on inflation if expectations formation is mainly backward-looking, detached from demand and supply conditions, which thereby worsens any inflation-activity trade-off in the face of a shock.",NA,if,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_22
energy prices surge,share of backward-looking agents,Energy price surges increase the share of backward-looking agents.,"Cornea-Madeira and Madeira (2022) show empirically that for the UK the share of backward-looking agents has varied significantly over time, in particular being higher when energy prices surge.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_23
cost-push shock,increase in prices,A cost-push shock exogenously increases prices beyond domestic demand conditions.,"Returning to the model, we can trace out the response of our model economy to the same underlying shock: a so-called cost-push shock which exogenously increases prices over and above what would be implied by domestic demand conditions.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_24
cost-push shock,limited and short-lived impact on activity and prices,The cost-push shock has a limited and short-lived impact on activity and prices in the model economy.,"In this economy, the cost-push shock has a very limited and short-lived impact on activity and prices.",NA,NA,short-lived,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_25
lagged nature of year-on-year inflation,inflation peaks after four quarters,The lagged nature of year-on-year inflation causes it to peak after four quarters.,"Because of the lagged nature of year-on-year inflation (Mann, 2023), it peaks after four quarters and then reverts towards target.",NA,NA,four quarters,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_26
backward-looking inflation expectations formation,output gap more negative for longer,Backward-looking inflation expectations formation causes the output gap to be more negative for longer.,The output gap is more negative for longer which is mirrored in inflation peaking higher and remaining above target for an extended period of time.,NA,NA,longer,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_27
backward-looking inflation expectations formation,inflation peaking higher and remaining above target,Backward-looking inflation expectations formation causes inflation to peak higher and remain above target for an extended period of time.,The output gap is more negative for longer which is mirrored in inflation peaking higher and remaining above target for an extended period of time.,NA,NA,extended period of time,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_28
increasing share of backward-looking agents,pronounced hump-shaped pattern in output and inflation,Increasing the share of backward-looking agents causes a pronounced hump-shaped pattern in output and inflation.,Increasing the share of backward-looking agents even more takes this pattern to the extreme. Both output and inflation display a pronounced hump-shaped pattern and are away from equilibrium for the entirety of the plotted period (4 years).,NA,NA,4 years,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_29
increased share of backward-looking firms,speed at which monetary policy affects realised inflation changes,An increased share of backward-looking firms changes the speed at which monetary policy affects realised inflation.,"As a result of the increased share of backward-looking firms, the speed at which monetary policy can affect realised inflation also changes.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_30
increasing degree of backward-lookingness,shrinking share of price-setters considering supply and demand conditions,An increasing degree of backward-lookingness implies a shrinking share of price-setters considering supply and demand conditions.,An increasing degree of backward-lookingness implies a shrinking share of price-setters in the economy that consider supply and demand conditions when making decisions.,NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_31
high share of backward-looking agents,monetary policy effectiveness diminished,A high share of backward-looking agents greatly diminishes the effectiveness of monetary policy.,"With a high share of backward-looking agents, monetary policy effectiveness - whether directly on expectations or through the output gap channel - is greatly diminished.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_32
sequence of large inflationary shocks,increased risk of being in the purple world,A sequence of large inflationary shocks increases the risk of being in the purple world with troubling non-linearities.,"We have to remember that the world has been hit by a sequence of large inflationary shocks, which have increased the risk of being in the purple world in which troubling non-linearities are evident.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_33
sequence of shocks,change in monetary transmission lags,A sequence of shocks may change the long and variable lags of monetary transmission.,"But, I have also reviewed factors that may change these relationships - change the long and variable lags - including a) that there has been a sequence of shocks, b) that the transmission from monetary policy to financial markets has been quick, but not all in the direction of tightening, and c) that the degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.",NA,may,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_34
transmission from monetary policy to financial markets,change in monetary transmission lags,The transmission from monetary policy to financial markets may change the long and variable lags of monetary transmission.,"But, I have also reviewed factors that may change these relationships - change the long and variable lags - including a) that there has been a sequence of shocks, b) that the transmission from monetary policy to financial markets has been quick, but not all in the direction of tightening, and c) that the degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.",NA,may,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_35
degree of backward- or forward-lookingness in expectations formation,effectiveness of monetary policy,The degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.,"But, I have also reviewed factors that may change these relationships - change the long and variable lags - including a) that there has been a sequence of shocks, b) that the transmission from monetary policy to financial markets has been quick, but not all in the direction of tightening, and c) that the degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_36
greater degree of front-loading,reduced risk of increasing share of backward-looking households and firms,A greater degree of front-loading would have reduced the risk of an increasing share of backward-looking households and firms.,"Looking back to my speech from just under a year ago (Mann, 2022a), in the face of two shocks, and given what was already in-train regarding inflation expectations and the collected research on policy effectiveness in the face of inflation uncertainties, a greater degree of front-loading would have reduced the risk of an increasing share of backward-looking households and firms.",NA,would have,NA,PAST,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_37
monetary policy path,quick transmission to financial markets,The monetary policy path has led to a quick transmission to financial markets.,"The stage was set for a transmission of monetary policy to financial markets that has been quick, but also has been partially absorbed.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_38
financial conditions looser than needed,extended persistence of inflation,Looser financial conditions could yield extended persistence of inflation.,"Collectively, all this adds up to financial conditions that are now looser than what likely will be needed to moderate the embedding of on-going inflation into the wage- and price-setting paths. I worry that this constellation could yield extended persistence of inflation into this year and the next.",NA,could,this year and the next,FUTURE,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_39
long period of time above the 2% target,increase in degree of backward-lookingness,A long period of time above the 2% target could increase the degree of backward-lookingness.,"The resulting long period of time above the 2% target could increase the degree of backward-lookingness, or catch-up behaviour, in the system.",NA,could,NA,FUTURE,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_40
risk of increasingly persistent inflation,more tightening needed,"The risk of increasingly persistent inflation rises disproportionately with the share of backward-lookingness, necessitating more tightening.","Given that the risk of increasingly persistent inflation rises disproportionately with the share of backward-lookingness, I believe that more tightening is needed, and caution that a pivot is not imminent.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_41
failing to do enough now,higher inflation and lower activity,Failing to do enough now risks higher inflation and lower activity.,Failing to do enough now risks the worst of both worlds - the higher inflation and lower activity of the purple regime - as monetary policy will have to stay tighter for longer to ensure that inflation returns sustainably back to the 2% target.,NA,NA,NA,FUTURE,speech_16653_batch_2,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_42
credit shocks,output responses,Credit shocks affect output through changes in borrowing costs and investment decisions.,Output and inflation responses to credit shocks.,NA,NA,NA,NA,speech_16653_batch_3,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_43
credit shocks,inflation responses,Credit shocks influence inflation by altering demand and price levels.,Output and inflation responses to credit shocks.,NA,NA,NA,NA,speech_16653_batch_3,16653,batch_6956d9760aa88190b8c32176d6260da6,16653_44
development of a new lending tool for non-bank financial institutions,tackling systemic risks in market-based finance,The new lending tool is intended to address systemic risks by providing targeted support to non-bank financial institutions.,"Andrew Hauser sets out the Banks ambitious plans for tackling systemic risks in market- based finance by developing a new lending tool for non-bank financial institutions, starting with UK insurance companies and pension funds, including newly-resilient LDI funds.",NA,NA,NA,FUTURE,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_0
shift away from traditional banks to Non-Bank Financial Institutions,increased competition and innovation in financial services,"The shift has led to more competition and innovation, resulting in cheaper, faster, and more diverse financial services.","And it brings many positives: increasing competition and innovation, driving cheaper, faster and more diverse financial services.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_1
shift away from traditional banks to Non-Bank Financial Institutions,enhanced stability of the financial system,"The shift increases the range of intermediation channels, reducing concentration and improving risk sharing, which enhances stability.","Greater diversity may also help enhance the stability of the financial system as a whole, by increasing the range of intermediation channels, reducing concentration and improving risk sharing.",NA,may,NA,PRESENT,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_2
growth in scale and range of Non-Bank Financial Institutions,new forms of liquidity risks to financial stability,"As NBFIs grow, they pose new liquidity risks either directly or through their influence on core financial markets.","But its not all one- way: as their scale and range has grown, its become increasingly clear that NBFIs have the capacity to pose new forms of liquidity risks to financial stability, either directly or through their influence on core financial markets.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_3
limited number of serious liquidity crises involving NBFIs post-GFC,doubt about the scale of financial stability threat,The limited crises led some to question the threat level posed by NBFIs to financial stability.,"First, the limited number of serious liquidity crises involving NBFIs in the years following the Global Financial Crisis (GFC) caused some to doubt the scale of the financial stability threat.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_4
traditional central bank tools for lending to banks,inability to stabilize the financial system as a whole,Traditional tools were insufficient because banks did not or could not on-lend to NBFIs in sufficient size.,"Second, in 2020, and again in 2022, traditional central bank tools for lending to banks were not enough to stabilise the financial system as a whole, because banks did not (or could not) on-lend to NBFIs in sufficient size, requiring central banks to reach for unconventional asset purchase and sale tools.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_5
sudden onset of Covid lockdown,dash for cash by NBFIs and others,"The Covid lockdown led to a rush for cash, overwhelming sovereign debt markets.",These risks have crystallised dramatically in recent years - globally in Spring 2020 when the sudden onset of Covid lockdown led to a dash for cash by NBFIs and others that overwhelmed sovereign debt markets.,NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_6
sharp adjustment in gilt yields following Government's fiscal announcements,large-scale fire sales by LDI funds,The adjustment in yields triggered fire sales by LDI funds.,and in the UK in Autumn 2022 when a sharp adjustment in gilt yields following the Governments fiscal announcements triggered large-scale fire sales by LDI funds.,NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_7
growth of non-bank financial system since GFC,increased reliance on NBFIs for saving and borrowing,The growth has led to more reliance on NBFIs by households and businesses.,"Households and businesses are ever more reliant on NBFIs for their saving and borrowing. Since the GFC, the non-bank financial system has doubled in size (compared with only a 60% increase in the banking sector), and now accounts for about half of global financial system assets.",doubled in size,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_8
intermediation capacity in core markets failing to keep pace with NBFI growth,struggles to meet demand for liquidity at times of stress,The lack of capacity leads to difficulties in meeting liquidity demands during stress periods.,"But the intermediation capacity in these markets, particularly from dealer banks, has failed to keep pace with their burgeoning size, and struggles to meet the consequent demand for liquidity, particularly at times of stress.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_9
NBFIs seeking temporary liquidity,temporary surge in fund investor redemptions,NBFIs seeking temporary liquidity to manage a temporary surge in fund investor redemptions,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_10
NBFIs seeking temporary liquidity,margin calls on derivatives,NBFIs seeking temporary liquidity to manage margin calls on derivatives,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_11
NBFIs seeking temporary liquidity,temporary drying up in dealer funding,NBFIs seeking temporary liquidity to manage temporary drying up in dealer funding,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_12
lending directly to NBFIs against high quality collateral,materially reduce the risk of confusing perceptions of central banks monetary policy stance,lending directly to NBFIs against high quality collateral would materially reduce the risk of confusing perceptions of central banks monetary policy stance,"In such circumstances, it is preferable to backstop market functioning by lending directly to NBFIs against high quality collateral - as illustrated in Figure 2 - because lending offers four distinct advantages over asset purchases:  It would materially reduce the risk of confusing perceptions of central banks monetary policy stance: secured lending for financial stability purposes is a well-recognised, longstanding part of the central bank liquidity toolkit;",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_13
lending directly to NBFIs against high quality collateral,fewer balance sheet costs for public authorities,lending directly to NBFIs against high quality collateral would have fewer balance sheet costs for public authorities,"It would have fewer balance sheet costs for public authorities, who would not bear the market risk of holding outright positions, could apply haircuts against default risk, and would know in advance when their exposure would unwind;",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_14
lending directly to NBFIs against high quality collateral,reduce the risks of central bank interventions creating perverse market incentives,lending directly to NBFIs against high quality collateral would reduce the risks of central bank interventions creating perverse market incentives,It would reduce the risks of central bank interventions creating perverse market incentives that displace broader market pricing or discourage prudent NBFI behaviours to build resilience in normal times;,NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_15
borrowing on central bank terms,less costly than fire sales of assets,borrowing on central bank terms would be less costly than fire sales of assets,"For the NBFIs themselves, borrowing - even on central bank terms - would be less costly than fire sales of assets that may later be reversed.",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_16
overly generous facility,incentivises greater liquidity risk-taking by NBFIs,overly generous facility incentivises greater liquidity risk-taking by NBFIs,"Condition (b) matters because an overly generous facility not only puts excessive amounts of public resources at risk, it also incentivises greater liquidity risk-taking by NBFIs.",NA,NA,NA,PRESENT,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_17
overly generous facility,undermine financial stability,overly generous facility could undermine financial stability,"That could perversely undermine, rather than bolster, financial stability - and runs counter to a clear national and international priority to ensure NBFIs build appropriate levels of resilience to withstand all but the most severe financial market shocks, holding up their end of the Grand Bargain.",NA,could,NA,FUTURE,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_18
LDI standards,bolstered the resilience of the wider defined benefit pension scheme sector,LDI standards have significantly bolstered the resilience of the wider defined benefit pension scheme sector,"These LDI standards have significantly bolstered the resilience of the wider defined benefit pension scheme sector - and there is a broader programme of work underway, in response to recommendations from the FPC and the Work and Pensions Select Committee, to ensure that the sector is able to take into account financial stability considerations on an enduring basis and be resilient to plausible future stresses.",NA,NA,NA,PRESENT,speech_16654_batch_1,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_19
NBFIs,introduction of new sources of systemic risk,NBFIs have introduced new sources of systemic risk,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PAST,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_20
bank lending tools,inability to reach the source of the problem,bank lending tools are unable to always reach the source of the problem,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_21
asset buy/sell tools,posing financial and policy risks,asset buy/sell tools pose financial and policy risks,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_22
ICPFs,accounting for a material share of gilt sales,ICPFs accounted for a material share of gilt sales,They accounted for a material share of gilt sales in the dash for cash and LDI episodes (Figure 4).,NA,NA,NA,PAST,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_23
resilience reforms,ongoing,resilience reforms are ongoing,"So while resilience reforms are ongoing, we will also - as a second and parallel step - reach out to a broader set of NBFIs active in core sterling markets to explore how access might be expanded beyond ICPFs over time.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_24
Banks System Wide Exploratory Scenario exercise,learning more about questions,Banks System Wide Exploratory Scenario exercise will help learn more about questions,We also expect to learn more about some of these questions from the Banks recently launched System Wide Exploratory Scenario exercise - the first stress test to focus on how banks and non-banks might interact to amplify shocks in UK financial markets that are core to UK financial stability.,NA,NA,NA,FUTURE,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_25
